,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
84,85,Palestine,"620,816",,"5,404                                ",,"614,962",,450,17,"116,137","1,011"
85,86,Estonia,"610,393",,"2,814                                ",,"524,990",,"82,589",5,"461,751","2,129"
86,87,Moldova,"595,745",,"11,922                                ",,"504,142",,"79,681",49,"148,447","2,971"
87,88,Venezuela,"548,965",,"5,830                                ",,"541,783",,"1,352",36,"18,757",199
88,89,Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"4,857",232
89,90,Libya,"507,112",,"6,437                                ",,"500,640",,35,,"72,025",914
90,91,Ethiopia,"496,083",,"7,572                                ",,"475,049",,"13,462",2,"4,106",63
91,92,Qatar,"486,227",,685                                ,,"484,245",,"1,297",4,"163,168",230
92,93,Réunion,"480,501",,907                                ,,"418,572",,"61,022",10,"529,151",999
93,94,Honduras,"462,340",,"11,060                                ",,N/A,N/A,N/A,105,"45,233","1,082"
94,95,Armenia,"445,881",,"8,712                                ",,"435,060",,"2,109",,"150,029","2,931"
95,96,Bosnia and Herzegovina,"400,769",,"16,218                                ",,"378,544",,"6,007",,"123,339","4,991"
96,97,Oman,"399,119",,"4,260                                ",,"384,669",,"10,190",2,"74,966",800
97,98,North Macedonia,"345,197",,"9,599                                ",,"335,465",,133,,"165,856","4,612"
98,99,Kenya,"342,320",,"5,684                                ",,"336,338",,298,1,"6,089",101
99,100,Zambia,"333,746",,"4,019                                ",,"329,690",,37,,"17,141",206
100,101,Albania,"333,635",,"3,593                                ",,"328,411",,"1,631",,"116,396","1,254"
101,102,Botswana,"327,511",,"2,794                                ",,"323,747",,970,1,"134,162","1,145"
102,103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764"
103,104,Montenegro,"284,326",,"2,790                                ",,"281,214",,322,6,"452,784","4,443"
104,105,Algeria,"271,168",,"6,881                                ",,"182,612",,"81,675",,"5,979",152
105,106,Nigeria,"266,381",,"3,155                                ",,"259,759",,"3,467",11,"1,229",15
106,107,Brunei ,"261,440",,225                                ,,"243,601",,"17,614",3,"586,937",505
107,108,Zimbabwe,"259,356",,"5,622                                ",,"253,061",,673,12,"16,917",367
108,109,Uzbekistan,"248,625",,"1,637                                ",,"241,486",,"5,502",23,"7,231",48
109,110,Mozambique,"230,816",,"2,229                                ",,"228,466",,121,11,"6,976",67
110,111,Martinique,"224,826",,"1,076                                ",,N/A,N/A,N/A,8,"600,999","2,876"
111,112,Laos,"217,412",,758                                ,,N/A,N/A,N/A,,"29,062",101
112,113,Iceland,"207,771",,229                                ,,N/A,N/A,N/A,2,"601,550",663
113,114,Afghanistan,"206,943",,"7,844                                ",,"184,517",,"14,582","1,124","5,078",192
114,115,Kyrgyzstan,"206,553",,"2,991                                ",,"196,406",,"7,156",131,"30,699",445
115,116,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646
116,117,Guadeloupe,"198,608",,997                                ,,N/A,N/A,N/A,19,"496,776","2,494"
117,118,Trinidad and Tobago,"185,708",,"4,271                                ",,"181,221",,216,8,"132,028","3,036"
118,119,Maldives,"185,651",,311                                ,,"163,687",,"21,653",25,"343,172",575
119,120,Ghana,"171,023",,"1,461                                ",,"169,553",,9,2,"5,279",45
120,121,Namibia,"169,946",,"4,080                                ",,"165,826",,40,,"64,523","1,549"
121,122,Uganda,"169,810",,"3,630                                ",,"100,431",,"65,749",3,"3,506",75
122,123,Jamaica,"152,669",,"3,447                                ",,"101,947",,"47,275",,"51,144","1,155"
123,124,Cambodia,"138,362",,"3,056                                ",,"135,173",,133,,"8,059",178
124,125,Rwanda,"132,811",,"1,467                                ",,"131,112",,232,,"9,765",108
125,126,Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"4,442",70
126,127,Malta,"116,093",,811                                ,,"114,652",,630,4,"261,451","1,826"
127,128,Angola,"104,946",,"1,928                                ",,"102,538",,480,,"2,996",55
128,129,Barbados,"104,944",,568                                ,,"102,435",,"1,941",,"364,360","1,972"
129,130,Channel Islands,"97,765",,210                                ,,"96,310",,"1,245",,"554,025","1,190"
130,131,French Guiana,"97,526",,412                                ,,"11,254",,"85,860",3,"310,425","1,311"
131,132,DRC,"94,970",,"1,461                                ",,"83,974",,"9,535",,997,15
132,133,Senegal,"88,891",,"1,968                                ",,"86,901",,22,,"5,035",111
133,134,Malawi,"88,220",,"2,685                                ",,"85,065",,470,67,"4,371",133
134,135,Ivory Coast,"87,911",,830                                ,,"87,067",,14,,"3,169",30
135,136,Suriname,"81,581",,"1,393                                ",,N/A,N/A,N/A,,"136,690","2,334"
136,137,New Caledonia,"78,244",,314                                ,,"76,260",,"1,670",9,"268,958","1,079"
137,138,French Polynesia,"77,772",,649                                ,,N/A,N/A,N/A,7,"273,687","2,284"
138,139,Eswatini,"73,962",,"1,422                                ",,"72,461",,79,,"62,425","1,200"
139,140,Guyana,"71,757",,"1,285                                ",,"70,251",,221,,"90,369","1,618"
140,141,Belize,"69,376",,688                                ,,"68,467",,221,6,"168,311","1,669"
141,142,Fiji,"68,451",,878                                ,,"66,524",,"1,049",,"75,265",965
142,143,Madagascar,"67,621",,"1,414                                ",,"65,840",,367,,"2,318",48
143,144,Sudan,"63,663",,"4,992                                ",,"58,136",,535,,"1,384",109
144,145,Mauritania,"63,425",,997                                ,,"62,423",,5,,"12,939",203
145,146,Cabo Verde,"63,159",,412                                ,,"62,659",,88,23,"111,258",726
146,147,Bhutan,"62,521",,21                                ,,"61,564",,936,,"79,347",27
147,149,Burundi,"51,018",,38                                ,,"50,638",,342,,"4,041",3
148,150,Seychelles,"50,355",,172                                ,,"50,026",,157,,"506,457","1,730"
149,151,Gabon,"48,973",,306                                ,,"48,617",,50,,"21,005",131
150,152,Andorra,"47,606",,158                                ,,"47,188",,260,14,"614,564","2,040"
151,153,Papua New Guinea,"46,557",,669                                ,,"43,982",,"1,906",7,"5,010",72
152,154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782"
153,155,Aruba,"43,693",,236                                ,,"42,438",,"1,019",2,"406,035","2,193"
154,156,Tanzania,"42,111",,845                                ,,N/A,N/A,N/A,7,665,13
155,157,Mayotte,"41,921",,187                                ,,N/A,N/A,N/A,,"146,444",653
156,158,Mauritius,"41,363",,"1,037                                ",,"39,612",,714,,"32,449",814
157,159,Togo,"39,339",,290                                ,,"39,041",,8,,"4,532",33
158,160,Guinea,"38,191",,465                                ,,"37,265",,461,8,"2,754",34
159,161,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353"
160,162,Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080"
161,163,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569
162,164,Lesotho,"34,490",,706                                ,,"25,980",,"7,804",,"15,852",324
163,165,Haiti,"33,876",,860                                ,,"32,934",,82,,"2,900",74
164,166,Mali,"32,764",,743                                ,,"31,944",,77,,"1,526",35
165,167,Cayman Islands,"31,359",,36                                ,,"8,553",,"22,770",1,"466,118",535
166,168,Saint Lucia,"29,550",,404                                ,,"29,095",,51,,"159,632","2,182"
167,169,Benin,"27,982",,163                                ,,"27,817",,2,5,"2,189",13
168,170,Somalia,"27,300",,"1,361                                ",,"13,182",,"12,757",,"1,621",81
169,171,Congo,"25,375",,386                                ,,"24,006",,983,,"4,377",67
170,172,Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"34,077",212
171,173,Timor-Leste,"23,379",,138                                ,,"23,102",,139,,"17,072",101
172,174,San Marino,"22,615",,120                                ,,"22,266",,229,4,"663,488","3,521"
173,175,Micronesia,"22,203",,55                                ,,N/A,N/A,N/A,1,"188,979",468
174,176,Burkina Faso,"21,631",,387                                ,,"21,143",,101,,979,18
175,177,Liechtenstein,"21,170",,88                                ,,"20,967",,115,2,"551,489","2,292"
176,178,Gibraltar,"20,252",,110                                ,,"16,579",,"3,563",,"600,878","3,264"
177,179,Grenada,"19,613",,237                                ,,"19,358",,18,4,"172,840","2,089"
178,180,Bermuda,"18,557",,152                                ,,"18,380",,25,,"299,601","2,454"
179,181,Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"2,728",33
180,182,South Sudan,"18,368",,138                                ,,"18,115",,115,1,"1,581",12
181,183,Tajikistan,"17,786",,125                                ,,"17,264",,397,,"1,786",13
182,184,Equatorial Guinea,"17,186",,183                                ,,"16,880",,123,5,"11,483",122
183,185,Tonga,"16,182",,12                                ,,"15,638",,532,,"150,182",111
184,186,Samoa,"15,967",,29                                ,,"1,605",,"14,333",4,"78,951",143
185,187,Monaco,"15,833",,63                                ,,"15,667",,103,4,"397,984","1,584"
186,188,Dominica,"15,760",,74                                ,,"15,673",,13,,"217,848","1,023"
187,189,Djibouti,"15,690",,189                                ,,"15,427",,74,,"15,441",186
188,190,Marshall Islands,"15,547",,17                                ,,"15,390",,140,22,"258,871",283
189,191,CAR,"15,311",,113                                ,,"14,615",,583,2,"3,052",23
190,192,Gambia,"12,586",,372                                ,,"12,189",,25,,"4,919",145
191,193,Saint Martin,"12,104",,63                                ,,"1,399",,"10,642",7,"304,656","1,586"
192,194,Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"210,117",369
193,195,Vanuatu,"11,952",,14                                ,,"11,937",,1,,"37,137",44
194,196,Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,383,69
195,197,Caribbean Netherlands,"11,540",,36                                ,,"10,476",,"1,028",,"433,069","1,351"
196,198,Sint Maarten,"10,964",,89                                ,,"10,873",,2,,"249,375","2,024"
197,200,Niger,"9,931",,312                                ,,"8,890",,729,1,381,12
198,201,St. Vincent Grenadines,"9,500",,116                                ,,"9,361",,23,,"85,163","1,040"
199,202,Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"91,509","1,467"
200,203,Comoros,"8,979",,161                                ,,"8,812",,6,,"9,895",177
201,204,Guinea-Bissau,"8,848",,176                                ,,"8,642",,30,6,"4,288",85
202,205,Liberia,"8,043",,294                                ,,"7,741",,8,2,"1,516",55
203,206,Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,,934,15
204,207,Chad,"7,648",,194                                ,,"4,874",,"2,580",,439,11
205,208,British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"238,757","2,092"
206,209,Saint Kitts and Nevis,"6,552",,46                                ,,"6,482",,24,,"121,624",854
207,210,Turks and Caicos,"6,463",,36                                ,,"6,395",,32,4,"162,628",906
208,211,Cook Islands,"6,389",,1                                ,,"6,384",,4,,"363,610",57
209,213,Palau,"5,933",,9                                ,,"5,747",,177,1,"325,399",494
210,214,St. Barth,"5,382",,6                                ,,N/A,N/A,N/A,,"541,176",603
211,215,Nauru,"4,621",,1                                ,,"4,609",,11,,"423,828",92
212,216,Anguilla,"3,904",,12                                ,,"3,879",,13,4,"256,336",788
213,217,Kiribati,"3,430",,13                                ,,"2,703",,714,3,"27,792",105
214,218,Saint Pierre Miquelon,"3,306",,2                                ,,"2,449",,855,1,"574,058",347
215,219,Tuvalu,"2,805",, ,,,,"2,805",,"232,471",
216,221,Saint Helena,"1,806",, ,,2,,"1,804",,"295,339",
217,222,Montserrat,"1,403",,8                                ,,"1,376",,19,,"282,578","1,611"
218,223,Macao,"1,363",,9                                ,,854,,500,,"2,042",13
219,224,Wallis and Futuna,761,,7                                ,,438,,316,,"69,295",637
220,226,Niue,226,, ,,187,,39,,"139,334",
221,230,China,"378,458","+2,097","5,235                                ",,"338,541","+1,773","34,682",242,261,4
222,Total:,"657,473,311","+60,972","6,671,196",+42,"631,311,089","+87,704","19,491,026","38,134","84,347.7",855.9,
